Question,Answer,Wrong1,Wrong2,Wrong3,Wrong4
People fall in love in mysterious ways= Maybe it's all part of a plan,Thinking Out Loud,Don't,One,The A Team,Bloodstream
Dry house= wet clothes= Loose change= bank notes,The A Team,Galway Girl,Shape of You,Photograph,One
I still remember these old country lanes,Castle On The Hill,Kiss Me,The City,Runaway,The Man
Will your mouth still remember the taste of my love?,Thinking Out Loud,In Memory,Move On,Be Like You,Photograph
You don't have to keep it under lock and key= Cause I will never let you down,Lay it All On Me,Runaway,Eraser,How Would You Feel (Paean),One
My three words have two meanings but there's one thing on my mind,Lego House,Give Me Love,I See Fire,Sing,Photograph
If we should die tonight= then we should die together,I See Fire,I'm a Mess,Bloodstream,Happier,What Do I Know?
You can wrap your fingers round my thumb and hold me tight,Small Bump,This,Wake Me Up,Give Me Love,One
This love is a blaze= I saw flames from the side of the stage,Sing,I Saw Fire,Afire Love,Don't,Give Me Love
Feel it rushing through you= from your head to toe,Sing,Wake Me Up,What Do I Know?,No Luck,Way Home
We drink away the days with a take-away pizza,Don't,Shape of You,Sing,Castle On The Hill,I'm a Mess
I already told you= Trust and respect is what we do this for,Donít,Sing,Perfect,Lego House,Give Me Love
It is the only thing that makes us feel alive,Photograph,Thinking Out Loud,Kiss Me,New Man,Runaway
Hearing you whisper through the phone= 'Wait for me to come home.',Photograph,The A Team,Thinking Out Loud,Afire Love,Bloodstream
Had my first kiss on a Friday night= I don't reckon I did it right,Castle On The Hill,Shape of You,Galway Girl,How Would You Feel (Paean),Eraser
Your love was handmade for somebody like me,Shape Of You,Galway Girl,Dive,Perfect,Happier
My bedsheets smell like you= every day discovering something brand new,Shape Of You,Supermarket Flowers,New York,Nina,Runaway
Take my hand= stop= put Van The Man on the jukebox,Shape Of You,Sing,Don't,I'm a Mess,Drunk
She shared a cigarette with me while her brother played the guitar,Galway Girl,Shape of You,Wake Me Up,Perfect,What Do I Know?
She kissed me like there was nobody else in the room,Galway Girl,Sing,Dive,Perfect,Bloodstream
Smoke= whisky= and wine as we fill up our lungs with the cold air of the night,Galway Girl,Shape of You,Don't,Afire Love,Drunk
I swear I'm going to put you in a song that I write,Galway Girl,I Saw Fire,Thinking Out Loud,Eraser,New Man
I'm feeling younger every time that I'm alone with you,How Would You Feel (Paean),Thinking Out Loud,The A Team,Photograph,Nina
In the summer= as the lilacs bloom= love flows deeper than the river,How Would You Feel (Paean),Thinking Out Loud,The A Team,Photograph,Nina
I'm dancing in the dark= with you between my arms,Perfect,Don't,One,The A Team,Bloodstream
I see my future in your eyes,Perfect,Wake Me Up,Small Bump,No Luck,Way Home
Ain't nobody hurt you like I hurt you= but ain't nobody love you like I do,Happier,Don't,The A Team,Hearts Don't Break Around Here,Dive
I heard he makes you happy so that's fine by me,New Man,Happier,Galway Girl,Perfect,Shape of You
I guess if you were Lois Lane= I wasn't superman,New Man,Shape of You,Runaway,Don't ,The Man
I'm positive that he don't wanna know about me,New Man,Runaway,Don't ,The Man,Sing
Shakes my soul like a pot hole= every time,Hearts Don't Break Around Here,Thinking Out Loud,Perfect,Happier,How Would You Feel (Paean)
Love the way that you conquer your fear,Hearts Don't Break Around Here,Dive,Photograph,Kiss Me,Be Like You
We could change this whole world with a piano,What Do I Know?,Dive,Castle on the Hill,Eraser,Save Myself
Love can change the world in a moment,What Do I Know?,Happier,Galway Girl,Perfect,Shape of You
Life is more than fitting in your jeans,What Do I Know?,Bracelona,Supermarket Flowers,How Would You Feel (Paean),Hearts Don't Break Around Here
When I fell down you'd be there holding me up,Supermarket Flowers,Galway Girl,The A Team,You Need Me= I Don't Need You,Lego House
A heart that's broke is a heart that's been loved,Supermarket Flowers,I See Fire,Sing,Don't,Thinking Out Loud
I remember less and less= and mostly things that I regret,Bibia Be Ye Ye,Castle on the Hill,Eraser,Save Myself,Nancy Mulligan
On the summer day when I proposed, I made that wedding ring from dentist gold,Nancy Mulligan,Bibia Be Ye Ye,Bracelona,Supermarket Flowers,Perfect
She took my name and then we were one,Nancy Mulligan,I See Fire,Lay It All On Me,Nina,London Bridge
Life can get you down so I just numb the way it feels,Save Myself,Happier,Give Me Love,The A Team,Bloodstream
